Signature,Block Time,Human Time,Action,From,To,Amount,Value,Decimals,Token Address, Multiplier
5ebSsJigph9JTWV7BaiHd2yzN9zmZBMETPcRyD48RoG6W5FiYLWH7Zq32rc3k6L6g9e2bq1hgr5v1nGqaFJe87hY,1757375827,2025-09-08T23:57:07.000Z,TRANSFER,ELqmSfVxTSkoGEdiH2TAbZUwMJYaxpdeJPaitFJqEyTA,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,37915622276,0.2513,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
PLEKyjJCXW8BXJeqjB3bZ4xRQexJqbxv7BxNuVdz4v6Sqa72DXNqucxr1NTrZsRyRZzz6KHbo6ayD5pcNKP3d6i,1757375817,2025-09-08T23:56:57.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,ELqmSfVxTSkoGEdiH2TAbZUwMJYaxpdeJPaitFJqEyTA,22938580737,0.152,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
A1BzVjtt1aWwTgyvpeHmt5pM2L3aSht9WdK1UsFTGViHmZsQi8PFgubGmqdx1rWG2j1xdT4Mu8bR9zNjWoca7pj,1757375809,2025-09-08T23:56:49.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,ELqmSfVxTSkoGEdiH2TAbZUwMJYaxpdeJPaitFJqEyTA,14977041539,0.09925,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4cn7YdKzyYMu1m9MKVRfQb9sqpdkEs8LfA4CyfewcYGyRLiXuWzVbcP6CqDezD3V9fdcPo12VwPxgUdSZYy1RRU9,1757355740,2025-09-08T18:22:20.000Z,TRANSFER,35dszeQQQzkMvjcmyrPWPnN5ZyK9ZjYkNp9kKXZWMvji,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,43736410499,0.2893,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4cn7YdKzyYMu1m9MKVRfQb9sqpdkEs8LfA4CyfewcYGyRLiXuWzVbcP6CqDezD3V9fdcPo12VwPxgUdSZYy1RRU9,1757355740,2025-09-08T18:22:20.000Z,TRANSFER,2CLApVwtxn4rDuL3huSbm2yHeoVr727oYnzJNYGvRaYU,35dszeQQQzkMvjcmyrPWPnN5ZyK9ZjYkNp9kKXZWMvji,43736410499,0.2893,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
38yAtZZQk1ZygCiyfeg5vBn6cfagS3AnQNyQTxTcAw4QpC5MgTMFUYwmFiqr3tT61NfDjCKzv77nqvqwUafh9Wtf,1757355023,2025-09-08T18:10:23.000Z,TRANSFER,68S7QYpDewENLZ38m9Nu1QMGQtbt55eTfCtKncCrQUS5,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,88736660923,0.5848,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
4UemzdTmJJJktQqwcFxMqxMPf9qUabi7ND1NRCKAoxCP4bCQRaRgWnzfsLrCCkHfcsAP9GGBEp2xJ77QyVaAy5oY,1757352687,2025-09-08T17:31:27.000Z,BURN,9zEvtB42n7VBnQob6yPGiAYeZFqLwgBNcHArsH88mJTW,,5101717819,0.03362,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2DfmpLErgt4YjpL3VJhqgLGfAmFUwsvLG2buu7jQwNvGoX5b1y2cwwuib5cMEwa8tMerDWx3owrhoxcouugyUB7j,1757347506,2025-09-08T16:05:06.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,98564266350,0.6506,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2DfmpLErgt4YjpL3VJhqgLGfAmFUwsvLG2buu7jQwNvGoX5b1y2cwwuib5cMEwa8tMerDWx3owrhoxcouugyUB7j,1757347506,2025-09-08T16:05:06.000Z,TRANSFER,7LEvXQe6jGMo7XmLWfNVx1F2S4KqmfkZXyYr2oSRGHF,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,98564266350,0.6506,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
2TAUwwWibUBrjLezu3z79xG44rGxaKy7xiZnTb3SCeyhn7LtPvyELooe2QGdZ2FiCqQcBeGP7332gK86CAHSNLpY,1757335856,2025-09-08T12:50:56.000Z,TRANSFER,9oR91JSnyVmDRN5nEyJDqca8a2P8FoR2xp2NMd54Ta6,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,99324737222,0.6524,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
